Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
151,67.97,50,1000,0.01,16,CIFAR10,53381.07
152,67.9,50,1000,0.01,16,CIFAR10,53381.07
153,68.16,50,1000,0.01,16,CIFAR10,53381.07
154,67.88,50,1000,0.01,16,CIFAR10,53381.07
155,67.96,50,1000,0.01,16,CIFAR10,53381.07
156,67.94,50,1000,0.01,16,CIFAR10,53381.07
157,68.04,50,1000,0.01,16,CIFAR10,53381.07
158,67.88,50,1000,0.01,16,CIFAR10,53381.07
159,67.9,50,1000,0.01,16,CIFAR10,53381.07
160,67.96,50,1000,0.01,16,CIFAR10,53381.07
161,68.0,50,1000,0.01,16,CIFAR10,53381.07
162,67.93,50,1000,0.01,16,CIFAR10,53381.07
163,67.87,50,1000,0.01,16,CIFAR10,53381.07
164,67.86,50,1000,0.01,16,CIFAR10,53381.07
165,67.83,50,1000,0.01,16,CIFAR10,53381.07
166,67.8,50,1000,0.01,16,CIFAR10,53381.07
167,67.86,50,1000,0.01,16,CIFAR10,53381.07
168,67.74,50,1000,0.01,16,CIFAR10,53381.07
169,67.78,50,1000,0.01,16,CIFAR10,53381.07
170,67.82,50,1000,0.01,16,CIFAR10,53381.07
171,67.95,50,1000,0.01,16,CIFAR10,53381.07
172,67.69,50,1000,0.01,16,CIFAR10,53381.07
173,67.82,50,1000,0.01,16,CIFAR10,53381.07
174,67.78,50,1000,0.01,16,CIFAR10,53381.07
175,67.81,50,1000,0.01,16,CIFAR10,53381.07
176,67.87,50,1000,0.01,16,CIFAR10,53381.07
177,67.8,50,1000,0.01,16,CIFAR10,53381.07
178,67.79,50,1000,0.01,16,CIFAR10,53381.07
179,67.79,50,1000,0.01,16,CIFAR10,53381.07
180,67.9,50,1000,0.01,16,CIFAR10,53381.07
181,67.96,50,1000,0.01,16,CIFAR10,53381.07
182,67.82,50,1000,0.01,16,CIFAR10,53381.07
183,67.7,50,1000,0.01,16,CIFAR10,53381.07
184,67.84,50,1000,0.01,16,CIFAR10,53381.07
185,67.66,50,1000,0.01,16,CIFAR10,53381.07
186,67.69,50,1000,0.01,16,CIFAR10,53381.07
187,67.81,50,1000,0.01,16,CIFAR10,53381.07
188,67.73,50,1000,0.01,16,CIFAR10,53381.07
189,67.86,50,1000,0.01,16,CIFAR10,53381.07
190,67.82,50,1000,0.01,16,CIFAR10,53381.07
191,67.91,50,1000,0.01,16,CIFAR10,53381.07
192,67.84,50,1000,0.01,16,CIFAR10,53381.07
193,67.75,50,1000,0.01,16,CIFAR10,53381.07
194,67.95,50,1000,0.01,16,CIFAR10,53381.07
195,67.85,50,1000,0.01,16,CIFAR10,53381.07
196,67.9,50,1000,0.01,16,CIFAR10,53381.07
197,67.81,50,1000,0.01,16,CIFAR10,53381.07
198,67.95,50,1000,0.01,16,CIFAR10,53381.07
199,67.89,50,1000,0.01,16,CIFAR10,53381.07
200,67.76,50,1000,0.01,16,CIFAR10,53381.07
201,67.77,50,1000,0.01,16,CIFAR10,53381.07
202,67.83,50,1000,0.01,16,CIFAR10,53381.07
203,67.8,50,1000,0.01,16,CIFAR10,53381.07
204,67.9,50,1000,0.01,16,CIFAR10,53381.07
